Date,Close
11/17/2019,58.63
11/10/2019,54.48
11/3/2019,52.99
10/27/2019,53.87
10/20/2019,54.66
10/13/2019,50.7
10/6/2019,46.83
9/29/2019,47.73
9/22/2019,48.62
9/15/2019,50.8
9/8/2019,53.07
9/1/2019,55.1
8/25/2019,51.82
8/18/2019,55.05
8/11/2019,54.45
8/4/2019,54.13
7/28/2019,56.16
7/21/2019,60.18
7/14/2019,64.64
7/7/2019,61.06
6/30/2019,60.12
6/23/2019,64.09
6/16/2019,69.9
6/9/2019,61.85
6/2/2019,58.52
5/26/2019,61.33
5/19/2019,65.48
5/12/2019,61.94
5/5/2019,62.85
4/28/2019,69.53
4/21/2019,71.45
4/14/2019,67.33
4/7/2019,68.21
3/31/2019,65.13
3/24/2019,67.78
3/17/2019,71.55
3/10/2019,72.45
3/3/2019,65.65
2/24/2019,60
2/17/2019,56.82
2/10/2019,56.73
2/3/2019,57.41
1/27/2019,60.83
1/20/2019,62.88
1/13/2019,63.9
1/6/2019,66.66
12/23/2018,58.2
12/16/2018,58.87
12/9/2018,59.5
12/2/2018,55.76
11/25/2018,53.84
11/18/2018,55.9
11/11/2018,57.37
11/4/2018,59.07
10/28/2018,57.77
10/21/2018,58.95
10/14/2018,58.49
10/7/2018,57.93
9/30/2018,59.15
9/23/2018,60.28
9/16/2018,62.1
9/9/2018,62.6
9/2/2018,57.43
8/26/2018,52.99
8/19/2018,53.62
8/12/2018,57.33
8/5/2018,57.44
7/29/2018,56.07
7/22/2018,55.14
7/15/2018,55.4
7/8/2018,58.55
7/1/2018,58.25
6/24/2018,61.7
6/17/2018,65
6/10/2018,61.34
6/3/2018,66.17
5/27/2018,73.71
5/20/2018,76.09
5/13/2018,75.4
5/6/2018,71.16
4/29/2018,66.79
4/22/2018,67.32
4/15/2018,68.21
4/8/2018,71.5
4/1/2018,71.75
3/25/2018,65.12
3/18/2018,67.94
3/11/2018,67.57
3/4/2018,65.16
2/25/2018,62.2
2/18/2018,56.52
2/11/2018,54.69
2/4/2018,56.86
1/28/2018,56.96
1/21/2018,55.46
1/14/2018,57.28
1/7/2018,58.52
12/31/2017,56.23
12/24/2017,54.73
12/17/2017,53.76
12/10/2017,53.36
12/3/2017,48.65
11/26/2017,49.02
11/19/2017,53.89
11/12/2017,51.25
11/5/2017,49.05
10/29/2017,53.17
10/22/2017,55.32
10/15/2017,54.52
10/8/2017,56.61
10/1/2017,57.21
9/24/2017,55.3
